,CODE,Port,Country,latitude,longitude
360,ATPER,PERG,AUSTRIA,,
361,ATPHG,PASCHING,AUSTRIA,,
362,ATPOG,POEGGSTALL,AUSTRIA,,
363,ATPRH,PERNHOFEN,AUSTRIA,,
364,ATPTF,PERSCHTOLSDORF,AUSTRIA,,
365,ATRAB,RAAB,AUSTRIA,,
366,ATRIE,RIED,AUSTRIA,,
367,ATRKL,RANKWEIL,AUSTRIA,,
368,ATRTT,ROTTENMANN,AUSTRIA,,
369,ATRWL,REKAWINKEL,AUSTRIA,,
370,ATRXG,RANDEGG,AUSTRIA,,
371,ATRZL,RIEZLERN,AUSTRIA,,
372,ATSAR,STIFT ARDAGGER,AUSTRIA,,
373,ATSCH,SCHWERTBERG,AUSTRIA,,
374,ATSCW,SCHWARZACH,AUSTRIA,,
375,ATSCZ,SCHWAZ,AUSTRIA,,
376,ATSEN,STEINABRUNN,AUSTRIA,,
377,ATSER,STEYR,AUSTRIA,,
378,ATSHT,SCHWECHAT,AUSTRIA,,
379,ATSJB,ST JAKOB BREITENAU,AUSTRIA,,
380,ATSLL,SOLLENAU,AUSTRIA,,
381,ATSML,ST MICHAEL OB BLEIBU,AUSTRIA,,
382,ATSPI,SPITTAL/DRAU,AUSTRIA,,
383,ATSST,SCHWANENSTADT,AUSTRIA,,
384,ATSTA,STAINACH,AUSTRIA,,
385,ATSTC,STOCKERAU,AUSTRIA,,
386,ATSTP,ST PÖLTEN,AUSTRIA,,
387,ATSTS,ST STEFAN,AUSTRIA,,
388,ATSTV,ST VALENTIN,AUSTRIA,,
389,ATSTZ,STAINZ,AUSTRIA,,
390,ATSVT,ST PAUL,AUSTRIA,,
391,ATSYM,STEYERMÜHL,AUSTRIA,,
392,ATSZG,SALZBURG,AUSTRIA,,
393,ATTBH,TREIBACH,AUSTRIA,,
394,ATTEL,TELFS,AUSTRIA,,
395,ATTLN,TULLN,AUSTRIA,,
396,ATTNQ,TRAUN,AUSTRIA,,
397,ATTNZ,TERNITZ,AUSTRIA,,
398,ATTOL,THOERL,AUSTRIA,,
399,ATTRW,TRIBUSWINKEL,AUSTRIA,,
400,ATTSK,TRAISKIRCHEN,AUSTRIA,,
401,ATUHR,UHER/WIEN,AUSTRIA,,
402,ATULF,ULMERFELD,AUSTRIA,,
403,ATUTD,UTTENDORF,AUSTRIA,,
404,ATVDD,VIENNA DANUBEPIER HO,AUSTRIA,,
405,ATVIE,WIEN,AUSTRIA,,
406,ATVLH,VILLACH,AUSTRIA,,
407,ATVOE,VÖLS,AUSTRIA,,
408,ATVOR,VORARLBERG,AUSTRIA,,
409,ATVTB,VOITSBERG,AUSTRIA,,
410,ATWBG,WIESELBURG,AUSTRIA,,
411,ATWCE,WALCHSEE,AUSTRIA,,
412,ATWLR,WOLFURTH,AUSTRIA,,
413,ATWLZ,WULZESHOFEN,AUSTRIA,,
