candidateID;vote;stateFips;countyFips;progressReporting;progressTotal;electors;holdingParty;party;ballotOrder;fullName;incumbent;aggregable;tot_county_votes;votePct
5063;3631;01;01037;21;21;9.0;gop;gop;2.0;Donald Trump;True;False;5473;66.34
5755;1796;01;01037;21;21;9.0;gop;dem;1.0;Joe Biden;False;False;5473;32.82
5849;46;01;01037;21;21;9.0;gop;lib;3.0;Jo Jorgensen;False;True;5473;0.84
5063;14586;01;01039;25;25;9.0;gop;gop;2.0;Donald Trump;True;False;17404;83.81
5755;2721;01;01039;25;25;9.0;gop;dem;1.0;Joe Biden;False;False;17404;15.63
5849;97;01;01039;25;25;9.0;gop;lib;3.0;Jo Jorgensen;False;True;17404;0.56
5063;4864;01;01041;18;18;9.0;gop;gop;2.0;Donald Trump;True;False;6608;73.61
5755;1700;01;01041;18;18;9.0;gop;dem;1.0;Joe Biden;False;False;6608;25.73
5849;44;01;01041;18;18;9.0;gop;lib;3.0;Jo Jorgensen;False;True;6608;0.67
5063;36880;01;01043;49;49;9.0;gop;gop;2.0;Donald Trump;True;False;41776;88.28
5755;4478;01;01043;49;49;9.0;gop;dem;1.0;Joe Biden;False;False;41776;10.72
5849;418;01;01043;49;49;9.0;gop;lib;3.0;Jo Jorgensen;False;True;41776;1.0
5063;14303;01;01045;19;19;9.0;gop;gop;2.0;Donald Trump;True;False;19706;72.58
5755;5170;01;01045;19;19;9.0;gop;dem;1.0;Joe Biden;False;False;19706;26.24
5849;233;01;01045;19;19;9.0;gop;lib;3.0;Jo Jorgensen;False;True;19706;1.18
5063;5524;01;01047;30;30;9.0;gop;gop;2.0;Donald Trump;True;False;17844;30.96
5755;12230;01;01047;30;30;9.0;gop;dem;1.0;Joe Biden;False;False;17844;68.54
5849;90;01;01047;30;30;9.0;gop;lib;3.0;Jo Jorgensen;False;True;17844;0.5
5063;24767;01;01049;47;47;9.0;gop;gop;2.0;Donald Trump;True;False;29298;84.53
5755;4281;01;01049;47;47;9.0;gop;dem;1.0;Joe Biden;False;False;29298;14.61
5849;250;01;01049;47;47;9.0;gop;lib;3.0;Jo Jorgensen;False;True;29298;0.85
5063;30164;01;01051;29;29;9.0;gop;gop;2.0;Donald Trump;True;False;40929;73.7
5755;10367;01;01051;29;29;9.0;gop;dem;1.0;Joe Biden;False;False;40929;25.33
5849;398;01;01051;29;29;9.0;gop;lib;3.0;Jo Jorgensen;False;True;40929;0.97
